学号,证书名称,证书编号,获得日期,状态,审核人,审核意见
202300153,全国计算机等级考试二级证书,603887420,2025-07-15,通过,王海燕,材料齐全，同意认定
202300154,AutoCAD 机械设计工程师认证,CAD733243,2023-03-11,待审核,,
202300154,机动车驾驶证（C1）,3706573633,2025-06-19,待审核,,
202300155,大学英语六级证书,6400877617,2026-07-24,通过,王海燕,佐证材料完整，予以通过
202300155,普通话水平测试二级甲等证书,379284164,2025-02-20,待审核,,
202300156,大学英语四级证书,7100134988,2025-11-20,通过,王海燕,符合认定条件，通过
202300156,大学英语六级证书,6400434422,2025-05-18,通过,王海燕,符合认定条件，通过
202300157,AutoCAD 机械设计工程师认证,CAD803796,2026-02-01,待审核,,
202300157,AutoCAD 机械设计工程师认证,CAD409580,2024-02-12,通过,王海燕,材料齐全，同意认定
202300158,AutoCAD 机械设计工程师认证,CAD364905,2023-08-01,通过,王海燕,符合认定条件，通过
202300158,全国计算机等级考试二级证书,613957498,2023-07-03,通过,王海燕,材料齐全，同意认定
202300159,全国计算机等级考试二级证书,549990468,2024-09-10,通过,王海燕,材料齐全，同意认定
202300159,普通话水平测试二级甲等证书,371973166,2026-04-01,通过,王海燕,佐证材料完整，予以通过
202300160,全国计算机等级考试二级证书,622628210,2024-02-04,通过,王海燕,材料齐全，同意认定
202300160,全国计算机等级考试二级证书,565142074,2024-01-09,待审核,,
202300161,普通话水平测试二级甲等证书,374070180,2026-07-01,通过,王海燕,材料齐全，同意认定
202300161,大学英语六级证书,6400736289,2026-03-09,通过,王海燕,佐证材料完整，予以通过
202300162,普通话水平测试二级甲等证书,372395476,2024-04-24,待审核,,
202300162,大学英语六级证书,6400745197,2025-04-15,通过,王海燕,佐证材料完整，予以通过
202300163,AutoCAD 机械设计工程师认证,CAD709656,2024-07-16,通过,王海燕,材料齐全，同意认定
202300163,全国计算机等级考试二级证书,561897888,2025-11-11,通过,王海燕,材料齐全，同意认定
202300164,全国计算机等级考试二级证书,604744802,2025-10-19,通过,王海燕,佐证材料完整，予以通过
202300164,大学英语四级证书,7100201144,2023-11-15,通过,王海燕,材料齐全，同意认定
202300165,大学英语六级证书,6400297622,2025-04-15,通过,王海燕,佐证材料完整，予以通过
202300165,普通话水平测试二级甲等证书,371160276,2025-08-24,通过,王海燕,佐证材料完整，予以通过
202300166,普通话水平测试二级甲等证书,376039312,2023-01-09,通过,王海燕,符合认定条件，通过
202300166,全国计算机等级考试二级证书,518018309,2023-08-02,通过,王海燕,材料齐全，同意认定
202300167,机动车驾驶证（C1）,3706985629,2025-11-18,通过,王海燕,材料齐全，同意认定
202300167,普通话水平测试二级甲等证书,375061502,2023-12-18,通过,王海燕,材料齐全，同意认定
202300168,大学英语四级证书,7100563823,2023-03-28,通过,王海燕,材料齐全，同意认定
202300168,大学英语六级证书,6400477513,2024-09-10,待审核,,
202300169,全国计算机等级考试二级证书,532285722,2026-02-08,通过,王海燕,佐证材料完整，予以通过
202300169,全国计算机等级考试二级证书,613786783,2025-06-16,通过,王海燕,佐证材料完整，予以通过
202300170,大学英语四级证书,7100833732,2026-06-26,通过,王海燕,佐证材料完整，予以通过
202300170,大学英语六级证书,6400945728,2025-05-26,通过,王海燕,佐证材料完整，予以通过
202300171,全国计算机等级考试二级证书,623846018,2026-05-01,通过,王海燕,佐证材料完整，予以通过
202300171,普通话水平测试二级甲等证书,372774289,2026-01-25,通过,王海燕,佐证材料完整，予以通过
202300172,全国计算机等级考试二级证书,612892178,2024-04-23,通过,王海燕,符合认定条件，通过
202300172,AutoCAD 机械设计工程师认证,CAD879782,2024-11-21,待审核,,
202300173,普通话水平测试二级甲等证书,377993773,2023-10-08,待审核,,
202300173,AutoCAD 机械设计工程师认证,CAD384135,2025-09-18,通过,王海燕,符合认定条件，通过
202300174,大学英语六级证书,6400379676,2026-04-12,公示中,王海燕,佐证材料完整，予以通过
202300174,机动车驾驶证（C1）,3706263864,2026-07-11,待审核,,
202300175,普通话水平测试二级甲等证书,370935002,2024-03-10,通过,王海燕,佐证材料完整，予以通过
202300175,普通话水平测试二级甲等证书,377122451,2025-01-22,通过,王海燕,材料齐全，同意认定
202300176,机动车驾驶证（C1）,3706522489,2025-07-18,通过,王海燕,佐证材料完整，予以通过
202300176,AutoCAD 机械设计工程师认证,CAD105696,2024-08-06,通过,王海燕,佐证材料完整，予以通过
202300177,大学英语六级证书,6400434989,2024-01-11,公示中,王海燕,符合认定条件，通过
202300177,全国计算机等级考试二级证书,623456743,2024-01-05,通过,王海燕,佐证材料完整，予以通过
202300178,大学英语六级证书,6400792026,2024-09-14,待审核,,
202300178,普通话水平测试二级甲等证书,371631539,2023-01-17,通过,王海燕,材料齐全，同意认定
202300179,普通话水平测试二级甲等证书,373072689,2023-10-15,待审核,,
202300179,AutoCAD 机械设计工程师认证,CAD650368,2026-05-25,通过,王海燕,佐证材料完整，予以通过
202300180,大学英语四级证书,7100249388,2023-12-08,通过,王海燕,符合认定条件，通过
202300180,大学英语六级证书,6400543597,2025-11-02,通过,王海燕,材料齐全，同意认定
202300181,大学英语六级证书,6400883436,2023-06-21,通过,王海燕,符合认定条件，通过
202300181,大学英语四级证书,7100367460,2024-05-02,通过,王海燕,材料齐全，同意认定
202300182,大学英语四级证书,7100305365,2024-05-09,通过,王海燕,材料齐全，同意认定
202300182,AutoCAD 机械设计工程师认证,CAD967923,2026-05-07,通过,王海燕,材料齐全，同意认定
202300183,大学英语六级证书,6400228003,2023-11-23,通过,王海燕,佐证材料完整，予以通过
202300183,全国计算机等级考试二级证书,605668944,2025-04-26,通过,王海燕,符合认定条件，通过
202300184,AutoCAD 机械设计工程师认证,CAD793248,2024-11-27,待审核,,
202300184,AutoCAD 机械设计工程师认证,CAD968689,2023-11-07,通过,王海燕,材料齐全，同意认定
202300185,大学英语六级证书,6400207969,2025-06-14,待审核,,
202300185,大学英语六级证书,6400505740,2025-07-07,通过,王海燕,符合认定条件，通过
202300186,机动车驾驶证（C1）,3706326613,2026-07-24,通过,王海燕,材料齐全，同意认定
202300186,大学英语六级证书,6400611816,2025-10-17,通过,王海燕,材料齐全，同意认定
202300187,普通话水平测试二级甲等证书,373119622,2026-07-24,通过,王海燕,符合认定条件，通过
202300187,大学英语四级证书,7100172351,2024-01-13,通过,王海燕,符合认定条件，通过
202300188,机动车驾驶证（C1）,3706673437,2023-04-05,公示中,王海燕,佐证材料完整，予以通过
202300188,大学英语四级证书,7100891750,2026-06-15,通过,王海燕,材料齐全，同意认定
202300189,大学英语六级证书,6400225520,2025-01-02,待审核,,
202300189,大学英语六级证书,6400937468,2026-05-17,通过,王海燕,符合认定条件，通过
202300190,大学英语六级证书,6400228183,2025-11-25,通过,王海燕,佐证材料完整，予以通过
202300190,AutoCAD 机械设计工程师认证,CAD498825,2026-01-09,公示中,王海燕,材料齐全，同意认定
202300191,普通话水平测试二级甲等证书,379691805,2025-05-26,待审核,,
202300191,机动车驾驶证（C1）,3706390354,2023-07-15,待审核,,
202300192,全国计算机等级考试二级证书,601385565,2026-01-21,通过,王海燕,符合认定条件，通过
202300192,AutoCAD 机械设计工程师认证,CAD529779,2025-01-14,通过,王海燕,材料齐全，同意认定
202300193,机动车驾驶证（C1）,3706245194,2026-08-26,通过,王海燕,材料齐全，同意认定
202300193,大学英语四级证书,7100963858,2023-07-15,通过,王海燕,材料齐全，同意认定
202300194,大学英语六级证书,6400326331,2025-04-17,通过,王海燕,材料齐全，同意认定
202300194,大学英语四级证书,7100817407,2026-03-12,通过,王海燕,材料齐全，同意认定
202300195,机动车驾驶证（C1）,3706770478,2024-06-26,通过,王海燕,佐证材料完整，予以通过
202300195,大学英语四级证书,7100458921,2025-04-04,通过,王海燕,符合认定条件，通过
202300196,全国计算机等级考试二级证书,516256372,2024-09-14,通过,王海燕,符合认定条件，通过
202300196,普通话水平测试二级甲等证书,378224311,2025-01-21,通过,王海燕,符合认定条件，通过
202300197,AutoCAD 机械设计工程师认证,CAD875290,2024-10-13,通过,王海燕,材料齐全，同意认定
202300197,大学英语六级证书,6400176605,2024-12-02,通过,王海燕,符合认定条件，通过
202300198,全国计算机等级考试二级证书,528929772,2026-05-02,通过,王海燕,符合认定条件，通过
202300198,机动车驾驶证（C1）,3706483452,2026-06-20,通过,王海燕,佐证材料完整，予以通过
202300199,机动车驾驶证（C1）,3706747645,2025-07-02,通过,王海燕,符合认定条件，通过
202300199,全国计算机等级考试二级证书,602642396,2025-04-21,通过,王海燕,符合认定条件，通过
202300200,大学英语六级证书,6400796542,2023-02-17,通过,王海燕,佐证材料完整，予以通过
202300200,机动车驾驶证（C1）,3706102980,2023-09-06,通过,王海燕,佐证材料完整，予以通过
202300201,大学英语六级证书,6400710063,2023-07-08,通过,王海燕,符合认定条件，通过
202300201,机动车驾驶证（C1）,3706555695,2024-09-10,待审核,,
202300202,机动车驾驶证（C1）,3706295515,2025-09-27,通过,王海燕,符合认定条件，通过
202300202,AutoCAD 机械设计工程师认证,CAD124580,2026-04-21,通过,王海燕,符合认定条件，通过
202300203,大学英语六级证书,6400107469,2023-07-04,通过,王海燕,符合认定条件，通过
202300203,AutoCAD 机械设计工程师认证,CAD839315,2025-08-07,通过,王海燕,佐证材料完整，予以通过
202300204,大学英语四级证书,7100597113,2023-02-25,通过,王海燕,佐证材料完整，予以通过
202300204,大学英语四级证书,7100278406,2025-07-06,通过,王海燕,材料齐全，同意认定
202300205,大学英语四级证书,7100463742,2024-10-15,通过,刘志强,佐证材料完整，予以通过
202300205,大学英语四级证书,7100637389,2023-08-14,通过,刘志强,材料齐全，同意认定
202300206,机动车驾驶证（C1）,3706565628,2023-02-10,通过,刘志强,符合认定条件，通过
202300206,AutoCAD 机械设计工程师认证,CAD514603,2024-03-22,通过,刘志强,符合认定条件，通过
202300207,AutoCAD 机械设计工程师认证,CAD116157,2024-08-04,通过,刘志强,符合认定条件，通过
202300207,全国计算机等级考试二级证书,516052601,2023-08-26,通过,刘志强,材料齐全，同意认定
202300208,全国计算机等级考试二级证书,646009854,2023-06-04,待审核,,
202300208,普通话水平测试二级甲等证书,371754853,2024-11-12,通过,刘志强,材料齐全，同意认定
202300209,全国计算机等级考试二级证书,542031600,2026-08-11,待审核,,
202300209,机动车驾驶证（C1）,3706195919,2024-07-18,公示中,刘志强,材料齐全，同意认定
202300210,大学英语六级证书,6400781723,2023-06-07,通过,刘志强,佐证材料完整，予以通过
202300210,AutoCAD 机械设计工程师认证,CAD451215,2025-05-03,通过,刘志强,符合认定条件，通过
202300211,大学英语四级证书,7100363939,2025-09-08,通过,刘志强,符合认定条件，通过
202300211,普通话水平测试二级甲等证书,379273861,2026-04-10,通过,刘志强,材料齐全，同意认定
202300212,普通话水平测试二级甲等证书,377330247,2024-08-19,通过,刘志强,佐证材料完整，予以通过
202300212,AutoCAD 机械设计工程师认证,CAD892638,2024-06-26,通过,刘志强,材料齐全，同意认定
202300213,大学英语六级证书,6400928925,2024-10-18,通过,刘志强,材料齐全，同意认定
202300213,机动车驾驶证（C1）,3706779319,2023-09-02,通过,刘志强,符合认定条件，通过
202300214,大学英语六级证书,6400907049,2023-06-06,公示中,刘志强,符合认定条件，通过
202300214,普通话水平测试二级甲等证书,370162141,2024-12-25,待审核,,
202300215,普通话水平测试二级甲等证书,373161100,2023-03-04,通过,刘志强,符合认定条件，通过
202300215,大学英语四级证书,7100784411,2025-05-25,通过,刘志强,佐证材料完整，予以通过
202300216,普通话水平测试二级甲等证书,371989671,2024-04-19,通过,刘志强,佐证材料完整，予以通过
202300216,全国计算机等级考试二级证书,646151103,2023-02-09,通过,刘志强,佐证材料完整，予以通过
202300217,大学英语六级证书,6400748111,2025-04-15,通过,刘志强,材料齐全，同意认定
202300217,全国计算机等级考试二级证书,579424359,2023-07-09,通过,刘志强,佐证材料完整，予以通过
202300218,AutoCAD 机械设计工程师认证,CAD252131,2026-03-16,通过,刘志强,符合认定条件，通过
202300218,大学英语六级证书,6400507217,2025-07-11,通过,刘志强,佐证材料完整，予以通过
202300219,大学英语六级证书,6400939478,2023-05-14,通过,刘志强,符合认定条件，通过
202300219,全国计算机等级考试二级证书,636076420,2025-04-24,通过,刘志强,材料齐全，同意认定
202300220,大学英语四级证书,7100457088,2026-04-27,通过,刘志强,材料齐全，同意认定
202300220,大学英语四级证书,7100783767,2023-07-20,通过,刘志强,符合认定条件，通过
202300221,普通话水平测试二级甲等证书,375440849,2026-08-26,通过,刘志强,符合认定条件，通过
202300221,大学英语四级证书,7100176246,2026-03-19,通过,刘志强,材料齐全，同意认定
202300222,全国计算机等级考试二级证书,584455385,2025-01-02,通过,刘志强,佐证材料完整，予以通过
202300222,普通话水平测试二级甲等证书,371411620,2024-03-13,通过,刘志强,佐证材料完整，予以通过
202300223,普通话水平测试二级甲等证书,375536007,2023-06-03,通过,刘志强,符合认定条件，通过
202300223,大学英语四级证书,7100930518,2026-03-16,通过,刘志强,符合认定条件，通过
202300224,全国计算机等级考试二级证书,612709646,2025-11-16,通过,刘志强,佐证材料完整，予以通过
202300224,普通话水平测试二级甲等证书,377820463,2024-04-05,待审核,,
202300225,AutoCAD 机械设计工程师认证,CAD260535,2025-04-14,通过,刘志强,符合认定条件，通过
202300225,机动车驾驶证（C1）,3706934805,2025-03-23,待审核,,
202300226,大学英语四级证书,7100641474,2026-07-02,通过,刘志强,材料齐全，同意认定
202300226,机动车驾驶证（C1）,3706582622,2026-06-15,通过,刘志强,符合认定条件，通过
202300227,大学英语四级证书,7100598746,2025-10-19,通过,刘志强,符合认定条件，通过
202300227,机动车驾驶证（C1）,3706291558,2025-08-14,通过,刘志强,材料齐全，同意认定
202300228,AutoCAD 机械设计工程师认证,CAD147260,2023-04-25,通过,刘志强,佐证材料完整，予以通过
202300228,普通话水平测试二级甲等证书,371399774,2026-07-04,公示中,刘志强,材料齐全，同意认定
202300229,AutoCAD 机械设计工程师认证,CAD773562,2026-06-14,通过,刘志强,材料齐全，同意认定
202300229,普通话水平测试二级甲等证书,376496139,2023-05-20,通过,刘志强,符合认定条件，通过
202300230,普通话水平测试二级甲等证书,378833877,2026-05-25,通过,刘志强,佐证材料完整，予以通过
202300230,全国计算机等级考试二级证书,557693083,2023-09-28,通过,刘志强,材料齐全，同意认定
202300231,大学英语六级证书,6400429197,2023-04-10,通过,刘志强,材料齐全，同意认定
202300231,大学英语六级证书,6400847654,2025-05-16,待审核,,
202300232,普通话水平测试二级甲等证书,373256103,2023-01-04,待审核,,
202300232,大学英语四级证书,7100914537,2023-05-08,通过,刘志强,佐证材料完整，予以通过
202300233,大学英语四级证书,7100842573,2024-08-07,通过,刘志强,佐证材料完整，予以通过
202300233,全国计算机等级考试二级证书,619287331,2025-12-21,通过,刘志强,符合认定条件，通过
202300234,大学英语六级证书,6400458088,2025-11-22,通过,刘志强,材料齐全，同意认定
202300234,机动车驾驶证（C1）,3706548504,2026-01-06,通过,刘志强,材料齐全，同意认定
202300235,大学英语四级证书,7100164105,2025-03-01,通过,刘志强,佐证材料完整，予以通过
202300235,机动车驾驶证（C1）,3706646332,2026-04-02,通过,刘志强,佐证材料完整，予以通过
202300236,全国计算机等级考试二级证书,579333411,2025-08-28,通过,刘志强,材料齐全，同意认定
202300236,大学英语四级证书,7100263723,2023-03-14,待审核,,
202300237,大学英语四级证书,7100491962,2024-11-03,通过,刘志强,材料齐全，同意认定
202300237,机动车驾驶证（C1）,3706888288,2025-07-07,通过,刘志强,符合认定条件，通过
202300238,机动车驾驶证（C1）,3706264191,2025-12-02,公示中,刘志强,材料齐全，同意认定
202300238,大学英语六级证书,6400681610,2024-07-05,待审核,,
202300239,机动车驾驶证（C1）,3706120032,2024-12-25,通过,刘志强,材料齐全，同意认定
202300239,普通话水平测试二级甲等证书,377787746,2025-09-11,通过,刘志强,材料齐全，同意认定
202300240,全国计算机等级考试二级证书,532886651,2024-11-08,待审核,,
202300240,机动车驾驶证（C1）,3706164924,2023-08-19,待审核,,
202300241,大学英语四级证书,7100896929,2024-10-13,通过,刘志强,材料齐全，同意认定
202300241,大学英语六级证书,6400247920,2026-01-05,通过,刘志强,符合认定条件，通过
202300242,AutoCAD 机械设计工程师认证,CAD731287,2026-06-12,公示中,刘志强,材料齐全，同意认定
202300242,大学英语六级证书,6400355020,2024-01-25,通过,刘志强,佐证材料完整，予以通过
202300243,普通话水平测试二级甲等证书,377240032,2026-04-21,通过,刘志强,材料齐全，同意认定
202300243,大学英语四级证书,7100157662,2023-12-18,通过,刘志强,佐证材料完整，予以通过
202300244,机动车驾驶证（C1）,3706752033,2023-07-07,通过,刘志强,材料齐全，同意认定
202300244,大学英语四级证书,7100933465,2025-09-23,通过,刘志强,材料齐全，同意认定
202300245,机动车驾驶证（C1）,3706661178,2024-01-20,待审核,,
202300245,机动车驾驶证（C1）,3706546574,2026-04-10,通过,刘志强,材料齐全，同意认定
202300246,大学英语四级证书,7100757902,2023-03-22,通过,刘志强,佐证材料完整，予以通过
202300246,机动车驾驶证（C1）,3706138678,2026-03-14,通过,刘志强,材料齐全，同意认定
202300247,普通话水平测试二级甲等证书,378648491,2026-06-13,通过,刘志强,佐证材料完整，予以通过
202300247,大学英语四级证书,7100231336,2026-02-03,通过,刘志强,佐证材料完整，予以通过
202300248,普通话水平测试二级甲等证书,375981205,2023-11-27,通过,刘志强,符合认定条件，通过
202300248,大学英语六级证书,6400892413,2023-02-20,通过,刘志强,材料齐全，同意认定
202300249,大学英语六级证书,6400323157,2025-08-23,待审核,,
202300249,大学英语四级证书,7100575762,2026-02-24,通过,刘志强,符合认定条件，通过
202300250,机动车驾驶证（C1）,3706188813,2025-12-06,通过,刘志强,材料齐全，同意认定
202300250,全国计算机等级考试二级证书,542009732,2024-05-26,通过,刘志强,符合认定条件，通过
202300251,机动车驾驶证（C1）,3706832082,2024-01-23,通过,刘志强,符合认定条件，通过
202300251,机动车驾驶证（C1）,3706450331,2025-05-19,通过,刘志强,材料齐全，同意认定
202300252,大学英语六级证书,6400750397,2024-04-24,通过,刘志强,材料齐全，同意认定
202300252,大学英语六级证书,6400319924,2025-03-27,通过,刘志强,佐证材料完整，予以通过
202300253,AutoCAD 机械设计工程师认证,CAD676439,2023-12-24,通过,刘志强,符合认定条件，通过
202300253,普通话水平测试二级甲等证书,375261671,2024-05-27,通过,刘志强,符合认定条件，通过
202300254,AutoCAD 机械设计工程师认证,CAD372295,2026-01-24,公示中,刘志强,佐证材料完整，予以通过
202300254,AutoCAD 机械设计工程师认证,CAD585012,2024-08-01,待审核,,
202300255,普通话水平测试二级甲等证书,375925081,2024-02-01,通过,刘志强,符合认定条件，通过
202300255,AutoCAD 机械设计工程师认证,CAD736108,2026-04-20,通过,刘志强,佐证材料完整，予以通过
202300256,大学英语四级证书,7100383189,2024-01-10,通过,刘志强,佐证材料完整，予以通过
202300256,AutoCAD 机械设计工程师认证,CAD430257,2025-02-04,通过,刘志强,佐证材料完整，予以通过
202300257,机动车驾驶证（C1）,3706620771,2023-04-22,通过,刘志强,佐证材料完整，予以通过
202300257,普通话水平测试二级甲等证书,377411634,2026-07-28,通过,刘志强,符合认定条件，通过
202300258,机动车驾驶证（C1）,3706986196,2023-04-12,待审核,,
202300258,普通话水平测试二级甲等证书,377284242,2026-07-20,通过,刘志强,佐证材料完整，予以通过
202300259,大学英语四级证书,7100304079,2024-04-13,通过,刘志强,符合认定条件，通过
202300259,普通话水平测试二级甲等证书,378126825,2023-01-26,通过,刘志强,材料齐全，同意认定
202300260,全国计算机等级考试二级证书,611086473,2026-07-04,待审核,,
202300260,机动车驾驶证（C1）,3706159045,2025-12-22,通过,刘志强,材料齐全，同意认定
202300261,机动车驾驶证（C1）,3706568277,2026-05-24,通过,刘志强,佐证材料完整，予以通过
202300261,AutoCAD 机械设计工程师认证,CAD675648,2025-02-11,通过,刘志强,符合认定条件，通过
202300262,全国计算机等级考试二级证书,563006468,2023-08-22,通过,刘志强,材料齐全，同意认定
202300262,全国计算机等级考试二级证书,542599193,2025-10-14,通过,刘志强,佐证材料完整，予以通过
202300263,大学英语六级证书,6400279840,2023-10-15,通过,刘志强,材料齐全，同意认定
202300263,机动车驾驶证（C1）,3706151489,2025-08-27,待审核,,
202300264,机动车驾驶证（C1）,3706120991,2025-06-05,通过,刘志强,佐证材料完整，予以通过
202300264,普通话水平测试二级甲等证书,371632990,2023-12-06,通过,刘志强,材料齐全，同意认定
202300265,AutoCAD 机械设计工程师认证,CAD710653,2024-11-28,通过,刘志强,佐证材料完整，予以通过
202300265,大学英语四级证书,7100583521,2024-03-25,通过,刘志强,材料齐全，同意认定
202300266,机动车驾驶证（C1）,3706169253,2023-10-14,通过,刘志强,材料齐全，同意认定
202300266,全国计算机等级考试二级证书,545661653,2026-05-20,待审核,,
202300267,机动车驾驶证（C1）,3706741930,2026-08-18,通过,刘志强,材料齐全，同意认定
202300267,大学英语四级证书,7100263492,2024-11-12,通过,刘志强,符合认定条件，通过
202300268,普通话水平测试二级甲等证书,371369644,2026-07-23,待审核,,
202300268,AutoCAD 机械设计工程师认证,CAD749307,2026-02-03,通过,刘志强,材料齐全，同意认定
202300269,大学英语六级证书,6400128869,2026-02-05,通过,刘志强,符合认定条件，通过
202300269,全国计算机等级考试二级证书,518503569,2026-06-18,通过,刘志强,材料齐全，同意认定
202300270,普通话水平测试二级甲等证书,374969546,2026-06-25,通过,刘志强,材料齐全，同意认定
202300270,大学英语四级证书,7100511417,2023-10-24,通过,刘志强,佐证材料完整，予以通过
202300271,普通话水平测试二级甲等证书,374095940,2024-04-16,通过,赵鹏,佐证材料完整，予以通过
202300271,大学英语六级证书,6400890460,2024-08-14,通过,赵鹏,佐证材料完整，予以通过
202300272,机动车驾驶证（C1）,3706460648,2023-06-23,通过,赵鹏,符合认定条件，通过
202300272,普通话水平测试二级甲等证书,376771212,2025-04-12,通过,赵鹏,佐证材料完整，予以通过
202300273,AutoCAD 机械设计工程师认证,CAD633111,2023-03-22,通过,赵鹏,符合认定条件，通过
202300273,大学英语四级证书,7100645645,2024-11-08,通过,赵鹏,材料齐全，同意认定
202300274,大学英语四级证书,7100770079,2025-11-08,通过,赵鹏,材料齐全，同意认定
202300274,AutoCAD 机械设计工程师认证,CAD821450,2026-06-28,通过,赵鹏,佐证材料完整，予以通过
202300275,AutoCAD 机械设计工程师认证,CAD248423,2023-06-13,待审核,,
202300275,大学英语六级证书,6400967919,2024-02-22,通过,赵鹏,佐证材料完整，予以通过
202300276,大学英语六级证书,6400956456,2024-02-25,通过,赵鹏,佐证材料完整，予以通过
202300276,普通话水平测试二级甲等证书,372120139,2025-05-07,通过,赵鹏,符合认定条件，通过
202300277,全国计算机等级考试二级证书,511804089,2025-05-26,通过,赵鹏,符合认定条件，通过
202300277,AutoCAD 机械设计工程师认证,CAD446065,2025-01-14,通过,赵鹏,材料齐全，同意认定
202300278,大学英语六级证书,6400338021,2024-05-11,通过,赵鹏,材料齐全，同意认定
202300278,大学英语六级证书,6400837500,2023-04-07,通过,赵鹏,佐证材料完整，予以通过
202300279,大学英语四级证书,7100646220,2026-07-02,待审核,,
202300279,全国计算机等级考试二级证书,625831136,2026-07-07,通过,赵鹏,材料齐全，同意认定
202300280,全国计算机等级考试二级证书,551871185,2024-06-07,通过,赵鹏,佐证材料完整，予以通过
202300280,机动车驾驶证（C1）,3706756756,2024-05-28,待审核,,
202300281,大学英语四级证书,7100160955,2025-09-07,通过,赵鹏,佐证材料完整，予以通过
202300281,普通话水平测试二级甲等证书,371177084,2026-02-26,通过,赵鹏,材料齐全，同意认定
202300282,大学英语四级证书,7100490940,2026-02-03,通过,赵鹏,符合认定条件，通过
202300282,大学英语六级证书,6400800849,2026-03-16,通过,赵鹏,符合认定条件，通过
202300283,AutoCAD 机械设计工程师认证,CAD563509,2024-07-15,通过,赵鹏,佐证材料完整，予以通过
202300283,大学英语四级证书,7100600544,2025-09-03,通过,赵鹏,材料齐全，同意认定
202300284,大学英语六级证书,6400593227,2026-01-01,通过,赵鹏,符合认定条件，通过
202300284,大学英语四级证书,7100943678,2023-12-21,待审核,,
202300285,AutoCAD 机械设计工程师认证,CAD507366,2025-04-05,通过,赵鹏,符合认定条件，通过
202300285,机动车驾驶证（C1）,3706814313,2025-08-06,通过,赵鹏,佐证材料完整，予以通过
202300286,全国计算机等级考试二级证书,571320590,2023-11-11,通过,赵鹏,材料齐全，同意认定
202300286,大学英语四级证书,7100912981,2025-11-07,通过,赵鹏,材料齐全，同意认定
202300287,AutoCAD 机械设计工程师认证,CAD823279,2024-10-15,通过,赵鹏,佐证材料完整，予以通过
202300287,AutoCAD 机械设计工程师认证,CAD569007,2024-04-14,通过,赵鹏,符合认定条件，通过
202300288,大学英语六级证书,6400691861,2026-06-16,待审核,,
202300288,AutoCAD 机械设计工程师认证,CAD220296,2026-02-16,通过,赵鹏,材料齐全，同意认定
202300289,全国计算机等级考试二级证书,589640195,2026-07-11,待审核,,
202300289,大学英语六级证书,6400178713,2025-05-28,通过,赵鹏,符合认定条件，通过
202300290,AutoCAD 机械设计工程师认证,CAD552767,2026-03-06,通过,赵鹏,佐证材料完整，予以通过
202300290,大学英语四级证书,7100916718,2024-11-22,公示中,赵鹏,佐证材料完整，予以通过
202300291,大学英语六级证书,6400629490,2025-09-15,待审核,,
202300291,普通话水平测试二级甲等证书,374127732,2025-01-17,通过,赵鹏,材料齐全，同意认定
202300292,大学英语四级证书,7100395116,2026-05-06,待审核,,
202300292,大学英语六级证书,6400467484,2023-05-04,通过,赵鹏,材料齐全，同意认定
202300293,AutoCAD 机械设计工程师认证,CAD294722,2023-07-08,通过,赵鹏,符合认定条件，通过
202300293,大学英语六级证书,6400875176,2024-12-20,通过,赵鹏,符合认定条件，通过
202300294,普通话水平测试二级甲等证书,375767007,2023-03-10,通过,赵鹏,符合认定条件，通过
202300294,AutoCAD 机械设计工程师认证,CAD857877,2024-09-15,通过,赵鹏,佐证材料完整，予以通过
202300295,全国计算机等级考试二级证书,536098425,2024-10-01,通过,赵鹏,符合认定条件，通过
202300295,机动车驾驶证（C1）,3706931123,2026-07-16,通过,赵鹏,材料齐全，同意认定
202300296,大学英语六级证书,6400327193,2025-05-04,通过,赵鹏,佐证材料完整，予以通过
202300296,全国计算机等级考试二级证书,535751924,2024-04-08,通过,赵鹏,佐证材料完整，予以通过
202300297,全国计算机等级考试二级证书,591485867,2025-04-28,通过,赵鹏,材料齐全，同意认定
202300297,AutoCAD 机械设计工程师认证,CAD546321,2023-05-24,通过,赵鹏,符合认定条件，通过
202300298,机动车驾驶证（C1）,3706332211,2023-08-15,通过,赵鹏,佐证材料完整，予以通过
202300298,AutoCAD 机械设计工程师认证,CAD817934,2024-11-22,通过,赵鹏,佐证材料完整，予以通过
202300299,机动车驾驶证（C1）,3706865361,2023-05-04,通过,赵鹏,符合认定条件，通过
202300299,普通话水平测试二级甲等证书,371315016,2026-01-02,通过,赵鹏,佐证材料完整，予以通过
202300300,AutoCAD 机械设计工程师认证,CAD582502,2026-05-23,通过,赵鹏,佐证材料完整，予以通过
202300300,机动车驾驶证（C1）,3706931154,2026-02-26,通过,赵鹏,佐证材料完整，予以通过
202400301,机动车驾驶证（C1）,3706597787,2026-02-06,通过,张伟,佐证材料完整，予以通过
202400302,AutoCAD 机械设计工程师认证,CAD523855,2026-06-13,通过,张伟,符合认定条件，通过
202400303,普通话水平测试二级甲等证书,378456369,2024-04-12,通过,张伟,佐证材料完整，予以通过
202400304,大学英语六级证书,6400946467,2024-03-24,通过,张伟,材料齐全，同意认定
202400305,AutoCAD 机械设计工程师认证,CAD782194,2024-03-08,通过,张伟,佐证材料完整，予以通过
202400306,大学英语四级证书,7100981587,2024-10-01,通过,张伟,佐证材料完整，予以通过
202400307,大学英语四级证书,7100976430,2025-05-17,待审核,,
