学号,姓名,性别,民族,政治面貌,出生日期,手机,邮箱,年级,学院,专业,班级,生源地,辅导员工号
202300288,郝晓萱,女,汉族,群众,2005-04-21,13363685356,202300288@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,安徽合肥,C0013
202300289,武浩然,男,汉族,预备党员,2005-06-22,15451320716,202300289@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,河北石家庄,C0013
202300290,向悦宁,女,蒙古族,共青团员,2005-07-25,18980294481,202300290@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,山东济宁,C0013
202300291,肖浩然,男,汉族,共青团员,2005-04-12,13824744405,202300291@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,辽宁大连,C0013
202300292,刘宗翰,男,汉族,中共党员,2005-11-22,19386232333,202300292@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,江苏徐州,C0013
202300293,程立群,男,汉族,预备党员,2005-05-12,13515765204,202300293@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,河北石家庄,C0013
202300294,许家豪,男,汉族,共青团员,2005-06-01,18342250563,202300294@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,山东淄博,C0013
202300295,余明哲,男,汉族,群众,2005-07-18,19010248817,202300295@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,山东青岛,C0013
202300296,戴思远,男,汉族,预备党员,2005-07-19,19546466146,202300296@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,辽宁大连,C0013
202300297,韦沛东,男,回族,共青团员,2005-05-08,18754442918,202300297@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,山东临沂,C0013
202300298,付欣怡,女,汉族,共青团员,2005-11-11,15035532690,202300298@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,山东青岛,C0013
202300299,向子轩,男,汉族,预备党员,2005-07-03,18246733306,202300299@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,山西太原,C0013
202300300,武书航,男,壮族,共青团员,2005-04-02,13046793025,202300300@hitwh.edu.cn,2023级,汽车工程学院,交通运输,交通2301班,河北石家庄,C0013
202400301,陶立群,男,汉族,共青团员,2006-09-20,19234222661,202400301@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东济宁,C0002
202400302,孟立群,男,回族,共青团员,2006-04-22,17161236134,202400302@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东潍坊,C0002
202400303,龚庆丰,男,汉族,共青团员,2006-02-16,17093142681,202400303@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东济宁,C0002
202400304,侯朗峰,男,汉族,群众,2006-05-08,13430393756,202400304@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东淄博,C0002
202400305,杜致远,男,壮族,共青团员,2006-05-19,17901735723,202400305@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,黑龙江哈尔滨,C0002
202400306,余雨泽,男,汉族,预备党员,2006-12-18,18947260669,202400306@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东临沂,C0002
202400307,蒋鸿飞,男,汉族,共青团员,2006-08-14,19602374706,202400307@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,吉林长春,C0002
202400308,贺亦驰,男,汉族,共青团员,2006-10-10,19137426187,202400308@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东临沂,C0002
202400309,陈思颖,女,蒙古族,共青团员,2006-04-16,15855290435,202400309@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东济宁,C0002
202400310,顾向阳,男,汉族,预备党员,2006-02-05,15562600543,202400310@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东济宁,C0002
202400311,向朗峰,男,汉族,共青团员,2006-10-15,15960650462,202400311@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东潍坊,C0002
202400312,钟思远,男,蒙古族,群众,2006-03-03,18213692307,202400312@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,河北石家庄,C0002
202400313,马慕青,女,汉族,共青团员,2006-06-01,15810656295,202400313@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,黑龙江哈尔滨,C0002
202400314,范明哲,男,汉族,群众,2006-11-15,15554237828,202400314@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东潍坊,C0002
202400315,任思颖,女,汉族,共青团员,2006-09-18,17027377134,202400315@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,河北石家庄,C0002
202400316,熊宇轩,男,壮族,共青团员,2006-05-17,13056975345,202400316@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,安徽合肥,C0002
202400317,方亦驰,男,壮族,共青团员,2006-12-23,13078191987,202400317@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东烟台,C0002
202400318,刘晓萱,女,汉族,共青团员,2006-01-11,17811404567,202400318@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东临沂,C0002
202400319,许梦洁,女,汉族,群众,2006-06-02,18257476758,202400319@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,河南郑州,C0002
202400320,陈梦洁,女,朝鲜族,共青团员,2006-09-07,19798654529,202400320@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,吉林长春,C0002
202400321,刘致远,男,蒙古族,群众,2006-05-23,18711993807,202400321@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东济南,C0002
202400322,程云舟,男,汉族,共青团员,2006-07-24,18395642226,202400322@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,黑龙江哈尔滨,C0002
202400323,梁佳琪,女,汉族,共青团员,2006-08-02,17317772742,202400323@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东济宁,C0002
202400324,苏致远,男,朝鲜族,共青团员,2006-06-11,15573362352,202400324@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东济宁,C0002
202400325,汪紫萱,女,壮族,共青团员,2006-06-15,18483813245,202400325@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东淄博,C0002
202400326,孙振宇,男,回族,共青团员,2006-04-20,15994009884,202400326@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,江苏徐州,C0002
202400327,尹紫萱,女,蒙古族,群众,2006-02-13,15737422489,202400327@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东淄博,C0002
202400328,闫思颖,女,汉族,共青团员,2006-06-26,17511742075,202400328@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,河南郑州,C0002
202400329,汪雨桐,女,汉族,共青团员,2006-05-11,18514847856,202400329@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,江苏徐州,C0002
202400330,龙景行,男,朝鲜族,共青团员,2006-04-19,19245636861,202400330@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东烟台,C0002
202400331,邹嘉懿,女,汉族,共青团员,2006-07-25,18287342392,202400331@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东济南,C0002
202400332,戴宇轩,男,回族,预备党员,2006-04-13,15025147478,202400332@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东青岛,C0002
202400333,钟梦洁,女,汉族,群众,2006-01-01,13590027972,202400333@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,山东济南,C0002
202400334,廖沛东,男,汉族,共青团员,2006-06-17,15730400377,202400334@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2401班,吉林长春,C0002
202400335,严欣怡,女,回族,共青团员,2006-01-18,18303786002,202400335@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,江苏徐州,C0002
202400336,徐庆丰,男,壮族,共青团员,2006-09-25,19467588679,202400336@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东济南,C0002
202400337,肖宗翰,男,汉族,群众,2006-01-24,18560856810,202400337@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,吉林长春,C0002
202400338,邹家豪,男,汉族,群众,2006-04-10,19360943171,202400338@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东临沂,C0002
202400339,夏志强,男,满族,共青团员,2006-10-23,13049822231,202400339@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东临沂,C0002
202400340,冯雨泽,男,回族,共青团员,2006-01-17,15389139273,202400340@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东淄博,C0002
202400341,钱若曦,女,汉族,共青团员,2006-01-13,19340295429,202400341@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,安徽合肥,C0002
202400342,姚致远,男,汉族,群众,2006-02-18,13093793513,202400342@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,河南郑州,C0002
202400343,段慧中,女,汉族,群众,2006-04-26,15804067187,202400343@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东济南,C0002
202400344,付子轩,男,汉族,共青团员,2006-04-08,17942453743,202400344@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,吉林长春,C0002
202400345,廖振宇,男,汉族,共青团员,2006-09-11,19069937406,202400345@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,河南郑州,C0002
202400346,彭家豪,男,汉族,预备党员,2006-06-06,19894295659,202400346@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,河北石家庄,C0002
202400347,徐浩然,男,汉族,共青团员,2006-05-15,13556212027,202400347@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东青岛,C0002
202400348,郑书航,男,壮族,共青团员,2006-08-17,18197029591,202400348@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山西太原,C0002
202400349,任采薇,女,汉族,共青团员,2006-02-05,19185113255,202400349@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,河南郑州,C0002
202400350,黎欣怡,女,壮族,共青团员,2006-08-12,18174499054,202400350@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东淄博,C0002
202400351,付语嫣,女,汉族,群众,2006-02-22,19115642192,202400351@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,江苏徐州,C0002
202400352,杜思颖,女,汉族,共青团员,2006-10-02,13562944621,202400352@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,辽宁大连,C0002
202400353,蒋朗峰,男,汉族,共青团员,2006-12-06,19197196594,202400353@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,黑龙江哈尔滨,C0002
202400354,薛沛东,男,汉族,共青团员,2006-02-03,19101191544,202400354@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,安徽合肥,C0002
202400355,任思远,男,壮族,共青团员,2006-11-13,15669279999,202400355@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,江苏徐州,C0002
202400356,袁启铭,男,汉族,群众,2006-01-02,13235167467,202400356@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,河北石家庄,C0002
202400357,魏致远,男,汉族,共青团员,2006-08-22,18099756553,202400357@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,河南郑州,C0002
202400358,陈慕青,女,蒙古族,共青团员,2006-01-26,15981338283,202400358@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,江苏徐州,C0002
202400359,石鸿飞,男,汉族,共青团员,2006-11-28,17437496817,202400359@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,吉林长春,C0002
202400360,冯佳琪,女,蒙古族,共青团员,2006-08-10,18351759020,202400360@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东青岛,C0002
202400361,江子轩,男,汉族,共青团员,2006-09-09,19684103517,202400361@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东潍坊,C0002
202400362,苏嘉树,男,回族,预备党员,2006-02-28,13590586942,202400362@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东临沂,C0002
202400363,许思颖,女,汉族,群众,2006-03-16,13737144003,202400363@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东临沂,C0002
202400364,叶宇轩,男,蒙古族,共青团员,2006-03-07,17368645042,202400364@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东济南,C0002
202400365,严天佑,男,汉族,共青团员,2006-11-27,19707451880,202400365@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,黑龙江哈尔滨,C0002
202400366,韩子轩,男,汉族,共青团员,2006-05-20,13009002883,202400366@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山西太原,C0002
202400367,雷明哲,男,汉族,共青团员,2006-05-03,13324877855,202400367@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,山东淄博,C0002
202400368,汤鸿飞,男,汉族,群众,2006-02-15,13691289567,202400368@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2402班,安徽合肥,C0002
202400369,熊雨桐,女,汉族,共青团员,2006-12-04,18632879019,202400369@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,吉林长春,C0002
202400370,梁亦驰,男,汉族,共青团员,2006-10-10,19308061851,202400370@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山东济宁,C0002
202400371,蒋云舟,男,满族,共青团员,2006-08-04,19252740364,202400371@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山西太原,C0002
202400372,程致远,男,壮族,共青团员,2006-12-14,13761971113,202400372@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山东临沂,C0002
202400373,胡志强,男,汉族,群众,2006-07-17,17627488835,202400373@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,河南郑州,C0002
202400374,邹雨泽,男,汉族,共青团员,2006-02-26,19110745245,202400374@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,河南郑州,C0002
202400375,秦文博,男,汉族,共青团员,2006-09-25,17829369297,202400375@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山东青岛,C0002
202400376,姜亦驰,男,汉族,预备党员,2006-03-24,15453049961,202400376@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,安徽合肥,C0002
202400377,郭博文,男,满族,共青团员,2006-04-26,13540761472,202400377@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山东潍坊,C0002
202400378,胡沛东,男,蒙古族,群众,2006-05-09,13594733760,202400378@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山东青岛,C0002
202400379,邓芳菲,女,朝鲜族,共青团员,2006-03-14,15427230797,202400379@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,江苏徐州,C0002
202400380,程婉清,女,汉族,共青团员,2006-03-22,18006746777,202400380@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山东济宁,C0002
202400381,蔡振宇,男,汉族,共青团员,2006-09-14,17430339335,202400381@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,江苏徐州,C0002
202400382,钟悦宁,女,蒙古族,共青团员,2006-07-14,13461039859,202400382@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,江苏徐州,C0002
202400383,严雨桐,女,汉族,群众,2006-03-10,13813135632,202400383@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,河南郑州,C0002
202400384,钱思远,男,汉族,预备党员,2006-12-26,17259771570,202400384@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山西太原,C0002
202400385,廖浩然,男,汉族,共青团员,2006-11-24,19209402908,202400385@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,河北石家庄,C0002
202400386,叶静姝,女,满族,共青团员,2006-11-24,17664091061,202400386@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,辽宁大连,C0002
202400387,邵书瑶,女,壮族,共青团员,2006-11-08,19468392288,202400387@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,吉林长春,C0002
202400388,闫振宇,男,回族,共青团员,2006-08-22,19156345144,202400388@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,江苏徐州,C0002
202400389,冯海宁,女,汉族,共青团员,2006-01-27,18382992790,202400389@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山西太原,C0002
202400390,史博文,男,满族,共青团员,2006-10-03,17587469593,202400390@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,辽宁大连,C0002
202400391,白子轩,男,汉族,预备党员,2006-06-26,18015638959,202400391@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山东青岛,C0002
202400392,汪立群,男,汉族,群众,2006-01-02,19156095042,202400392@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,辽宁大连,C0002
202400393,邱雨桐,女,汉族,共青团员,2006-09-18,15586469558,202400393@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山西太原,C0002
202400394,钟梦琪,女,汉族,共青团员,2006-05-12,17614363621,202400394@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山东烟台,C0002
202400395,龙思颖,女,蒙古族,群众,2006-07-04,19195146044,202400395@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山东济宁,C0002
202400396,潘书航,男,蒙古族,共青团员,2006-06-08,17420697803,202400396@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,江苏徐州,C0002
202400397,曾泽楷,男,满族,共青团员,2006-08-03,13554345661,202400397@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山西太原,C0002
202400398,朱昊天,男,汉族,群众,2006-01-19,15121699513,202400398@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,山东青岛,C0002
202400399,谢家豪,男,汉族,共青团员,2006-08-10,19797361152,202400399@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,河南郑州,C0002
202400400,严承宇,男,汉族,共青团员,2006-01-25,17261044173,202400400@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,河南郑州,C0002
202400401,韦书航,男,汉族,共青团员,2006-10-22,18237523100,202400401@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,安徽合肥,C0002
202400402,罗景行,男,汉族,共青团员,2006-07-08,13307937433,202400402@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2403班,江苏徐州,C0002
202400403,何立群,男,汉族,群众,2006-08-09,18624086997,202400403@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,吉林长春,C0002
202400404,钱振宇,男,汉族,群众,2006-11-13,18390146181,202400404@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,辽宁大连,C0002
202400405,王嘉懿,女,汉族,共青团员,2006-12-12,19644076541,202400405@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东潍坊,C0002
202400406,戴向阳,男,汉族,共青团员,2006-03-18,17159829690,202400406@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,辽宁大连,C0002
202400407,郭海宁,女,汉族,共青团员,2006-06-06,17860118519,202400407@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,辽宁大连,C0002
202400408,袁宗翰,男,朝鲜族,共青团员,2006-04-12,13242237480,202400408@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,江苏徐州,C0002
202400409,张芷若,女,汉族,共青团员,2006-05-05,19609088961,202400409@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,吉林长春,C0002
202400410,薛庆丰,男,汉族,共青团员,2006-06-16,15091142014,202400410@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,安徽合肥,C0002
202400411,熊景行,男,蒙古族,共青团员,2006-12-09,17155580493,202400411@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东青岛,C0002
202400412,龚亦驰,男,汉族,共青团员,2006-03-01,19227720613,202400412@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东潍坊,C0002
202400413,周子轩,男,汉族,共青团员,2006-08-10,18770464575,202400413@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,河北石家庄,C0002
202400414,万昊天,男,汉族,群众,2006-06-09,15262722748,202400414@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东潍坊,C0002
202400415,叶佳琪,女,满族,共青团员,2006-08-01,18485818597,202400415@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,吉林长春,C0002
202400416,高若曦,女,汉族,共青团员,2006-09-03,19204865064,202400416@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,江苏徐州,C0002
202400417,江明哲,男,汉族,共青团员,2006-12-28,18157153041,202400417@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,安徽合肥,C0002
202400418,邱子轩,男,汉族,群众,2006-09-03,18400963849,202400418@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山西太原,C0002
202400419,石向阳,男,汉族,共青团员,2006-10-26,19482164574,202400419@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东济南,C0002
202400420,戴雨泽,男,朝鲜族,共青团员,2006-10-09,15941989232,202400420@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东淄博,C0002
202400421,吕振宇,男,朝鲜族,群众,2006-08-25,18342818253,202400421@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,河北石家庄,C0002
202400422,孙宇轩,男,汉族,共青团员,2006-10-08,18666868319,202400422@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东临沂,C0002
202400423,崔博文,男,汉族,共青团员,2006-01-07,13723059201,202400423@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东潍坊,C0002
202400424,方宇轩,男,回族,共青团员,2006-07-08,13636140768,202400424@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东临沂,C0002
202400425,蔡庆丰,男,汉族,共青团员,2006-08-26,17699114789,202400425@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东烟台,C0002
202400426,廖雨泽,男,汉族,群众,2006-11-27,19372867442,202400426@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,吉林长春,C0002
202400427,钱语嫣,女,满族,共青团员,2006-04-13,15181748500,202400427@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东淄博,C0002
202400428,王明哲,男,汉族,共青团员,2006-12-03,19817453477,202400428@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,河南郑州,C0002
202400429,白沛东,男,汉族,预备党员,2006-11-04,15206757575,202400429@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,吉林长春,C0002
202400430,肖泽楷,男,汉族,共青团员,2006-12-03,15205685727,202400430@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,江苏徐州,C0002
202400431,莫雅雯,女,汉族,共青团员,2006-10-03,15126986781,202400431@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东烟台,C0002
202400432,卢芷若,女,满族,共青团员,2006-08-22,19671985608,202400432@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东济宁,C0002
202400433,黄宇轩,男,回族,共青团员,2006-02-28,17852706106,202400433@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,河北石家庄,C0002
202400434,梁浩然,男,汉族,共青团员,2006-11-01,19544579223,202400434@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,江苏徐州,C0002
202400435,董庆丰,男,满族,共青团员,2006-10-13,18123160403,202400435@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东临沂,C0002
202400436,汪志强,男,汉族,共青团员,2006-11-21,13303929146,202400436@hitwh.edu.cn,2024级,汽车工程学院,车辆工程,车辆2404班,山东烟台,C0002
202400437,彭天佑,男,满族,共青团员,2006-01-22,13942241639,202400437@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,河南郑州,C0006
202400438,曹泽楷,男,汉族,群众,2006-11-06,19858979016,202400438@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山东济宁,C0006
202400439,陶振宇,男,回族,共青团员,2006-05-03,19345633301,202400439@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山东烟台,C0006
202400440,白梦洁,女,蒙古族,共青团员,2006-01-25,15760490571,202400440@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山东济南,C0006
202400441,胡向阳,男,满族,群众,2006-04-03,19649656542,202400441@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,河南郑州,C0006
202400442,丁思远,男,满族,共青团员,2006-01-23,15304470173,202400442@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山东济宁,C0006
202400443,徐鸿飞,男,朝鲜族,共青团员,2006-10-16,19411820883,202400443@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山东烟台,C0006
202400444,白亦驰,男,满族,群众,2006-10-01,19331954587,202400444@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,河南郑州,C0006
202400445,杨慧中,女,蒙古族,群众,2006-04-14,17795829817,202400445@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山东济宁,C0006
202400446,丁宇轩,男,蒙古族,预备党员,2006-06-12,13251543784,202400446@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山东济南,C0006
202400447,许启铭,男,汉族,群众,2006-01-06,13669270250,202400447@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山西太原,C0006
202400448,贾昊天,男,回族,共青团员,2006-06-19,15992398132,202400448@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山西太原,C0006
202400449,莫博文,男,汉族,群众,2006-05-17,19686825499,202400449@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山东烟台,C0006
202400450,崔子轩,男,蒙古族,群众,2006-09-23,13847886948,202400450@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,吉林长春,C0006
202400451,马雨泽,男,朝鲜族,预备党员,2006-07-02,17785725916,202400451@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,安徽合肥,C0006
202400452,方沛东,男,汉族,群众,2006-09-04,19172263600,202400452@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山东潍坊,C0006
202400453,闫立群,男,蒙古族,共青团员,2006-01-09,15652330796,202400453@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山东烟台,C0006
202400454,郝志强,男,回族,共青团员,2006-06-15,18414640498,202400454@hitwh.edu.cn,2024级,汽车工程学院,能源与动力工程,能动2401班,山东烟台,C0006
